datetime,symbol,open,high,low,close,volume
2024-04-01 15:30:00,NASDAQ:AAPL,171.19,171.92,168.2302,169.58,239070908.0
2024-04-08 15:30:00,NASDAQ:AAPL,169.03,178.36,167.11,176.55,322327219.0
2024-04-15 15:30:00,NASDAQ:AAPL,175.36,176.63,164.075,165.0,309416498.0
2024-04-22 15:30:00,NASDAQ:AAPL,165.515,171.34,164.77,169.3,241302722.0
2024-04-29 15:30:00,NASDAQ:AAPL,173.37,187.0,169.11,183.38,441926366.0
2024-05-06 15:30:00,NASDAQ:AAPL,182.354,185.09,180.42,183.05,300674993.0
2024-05-13 15:30:00,NASDAQ:AAPL,185.435,191.095,184.62,189.87,288966571.0
2024-05-20 15:30:00,NASDAQ:AAPL,189.325,192.8231,186.625,189.98,208652122.0
2024-05-28 15:30:00,NASDAQ:AAPL,191.51,193.0,189.1,192.25,230454285.0
2024-06-03 15:30:00,NASDAQ:AAPL,192.9,196.94,192.52,196.89,245994434.0
2024-06-10 15:30:00,NASDAQ:AAPL,196.9,220.2,192.15,212.49,635755143.0
2024-06-17 15:30:00,NASDAQ:AAPL,213.37,218.95,207.11,207.49,506265358.0
2024-06-24 15:30:00,NASDAQ:AAPL,207.72,216.07,206.59,210.62,335969485.0
2024-07-01 15:30:00,NASDAQ:AAPL,212.09,226.45,211.92,226.34,216231316.0
2024-07-08 15:30:00,NASDAQ:AAPL,227.09,233.08,223.25,230.54,287640514.0
2024-07-15 15:30:00,NASDAQ:AAPL,236.48,237.23,222.27,224.31,278397452.0
2024-07-22 15:30:00,NASDAQ:AAPL,227.01,227.78,214.62,217.96,242932215.0
2024-07-29 15:30:00,NASDAQ:AAPL,216.96,225.6,215.75,219.86,296061436.0
2024-08-05 15:30:00,NASDAQ:AAPL,199.09,216.78,196.0,216.24,342088289.0
2024-08-12 15:30:00,NASDAQ:AAPL,216.07,226.8271,215.6,226.05,214898250.0
2024-08-19 15:30:00,NASDAQ:AAPL,225.72,228.34,223.04,226.84,188124897.0
2024-08-26 15:30:00,NASDAQ:AAPL,226.76,232.92,223.8905,229.0,209486001.0
2024-09-03 15:30:00,NASDAQ:AAPL,228.55,229.0,217.48,220.82,179069179.0
2024-09-09 15:30:00,NASDAQ:AAPL,220.82,224.04,216.71,222.5,237622914.0
2024-09-16 15:30:00,NASDAQ:AAPL,216.54,233.09,213.92,228.2,550232897.0
2024-09-23 15:30:00,NASDAQ:AAPL,227.34,229.52,224.02,227.79,210673480.0
2024-09-30 15:30:00,NASDAQ:AAPL,230.04,233.0,223.02,226.8,222348300.0
2024-10-07 15:30:00,NASDAQ:AAPL,224.5,229.75,221.33,227.55,164894870.0
2024-10-14 15:30:00,NASDAQ:AAPL,228.7,237.49,228.6,235.0,218140974.0
2024-10-21 15:30:00,NASDAQ:AAPL,234.45,236.85,227.76,231.41,197299834.0
2024-10-28 14:30:00,NASDAQ:AAPL,233.32,234.73,220.27,222.91,248222115.0
2024-11-04 15:30:00,NASDAQ:AAPL,220.99,228.66,219.71,226.96,208083442.0
2024-11-11 15:30:00,NASDAQ:AAPL,225.0,228.87,221.5,225.0,223817755.0
2024-11-18 15:30:00,NASDAQ:AAPL,225.25,230.7199,225.17,229.87,196343939.0
2024-11-25 15:30:00,NASDAQ:AAPL,231.46,237.81,229.74,237.33,198118837.0
2024-12-02 15:30:00,NASDAQ:AAPL,237.27,244.63,237.16,242.84,208286552.0
2024-12-09 15:30:00,NASDAQ:AAPL,241.83,250.8,241.75,248.13,192702674.0
2024-12-16 15:30:00,NASDAQ:AAPL,247.99,255.0,245.69,254.49,368202745.0
2024-12-23 15:30:00,NASDAQ:AAPL,254.77,260.1,253.06,255.59,133711783.0
2024-12-30 15:30:00,NASDAQ:AAPL,252.23,253.5,241.8201,243.36,171023105.0
